;;;;Champion;NAME S1;;S1I1;S1I2;S1I3;NAME S2;;S2I1;S2I2;S2I3;NAME S3;;S3I1;S3I2;S3I3;ID S1I1;ID S1I2;ID S1I3;CONC;ID S2I1;ID S2I2;ID S2I3;CONC;ID S3I1;ID S3I2;ID S3I3;CONC;CODE_EN;JSON_EN;CODE_PT;JSON_PT;;
;;;;Jinx;"""Mirror Attack / True Damage (Max Health) / Debuffer (Prevent Mana)""";"""Ataque Espelhado / Dano Verdadeiro (Vida Máxima) / Debuffer (Impede de Ganhar mana)""";Runaan's Hurricane;giant slayer;Hush;"""Attack Speed / Life Steal / True Damage (Max Health)""";"""Velocidade de Ataque / Roubo de Vida / Dano Verdadeiro (Vida Máxima)""";Guinsoo's Rageblade;Hextech Gunblade;giant slayer;"""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / Mirror Attack""";"""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Ataque Espelhado""";Red Buff;Hush;Runaan's Hurricane;68;12;46;[68,12,46];23;13;12;[23,13,12];57;46;68;[57,46,68];"""bestSets"": [
        {
          ""name"": ""Mirror Attack / True Damage (Max Health) / Debuffer (Prevent Mana)"",
          ""items"": [68,12,46]
        },
        {
          ""name"": ""Attack Speed / Life Steal / True Damage (Max Health)"",
          ""items"": [23,13,12]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / Mirror Attack"",
          ""items"": [57,46,68]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mirror Attack / True Damage (Max Health) / Debuffer (Prevent Mana)"",
          ""items"": [68,12,46]
        },
        {
          ""name"": ""Attack Speed / Life Steal / True Damage (Max Health)"",
          ""items"": [23,13,12]
        },
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Debuffer (Prevent Mana) / Mirror Attack"",
          ""items"": [57,46,68]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ataque Espelhado / Dano Verdadeiro (Vida Máxima) / Debuffer (Impede de Ganhar mana)"",
          ""items"": [68,12,46]
        },
        {
          ""name"": ""Velocidade de Ataque / Roubo de Vida / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [23,13,12]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Ataque Espelhado"",
          ""items"": [57,46,68]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ataque Espelhado / Dano Verdadeiro (Vida Máxima) / Debuffer (Impede de Ganhar mana)"",
          ""items"": [68,12,46]
        },
        {
          ""name"": ""Velocidade de Ataque / Roubo de Vida / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [23,13,12]
        },
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Debuffer (Impede de Ganhar mana) / Ataque Espelhado"",
          ""items"": [57,46,68]
        }
      ]";;
;;;;Kai'sa;"""Attack Speed / Life Steal / Critical Damage / Critical Chance""";"""Velocidade de Ataque / Roubo de Vida / Dano Crítico / Chance de Crítico""";Guinsoo's Rageblade;The Bloodthirster;Infinity Edge;"""Attack Speed / True Damage (Max Health) / Splash Damage""";"""Velocidade de Ataque / Dano Verdadeiro (Vida Máxima) / Dano em área""";Guinsoo's Rageblade;Giant Slayer;Statikk Shiv;"""Magic Resistance / Revive / True Damage (Max Health)""";"""Resistência Mágica / Reviver / Dano Verdadeiro (Vida Máxima)""";Dragon's Claw;Guardian Angel;Giant Slayer;23;16;19;[23,16,19];23;12;24;[23,12,24];66;15;12;[66,15,12];"""bestSets"": [
        {
          ""name"": ""Attack Speed / Life Steal / Critical Damage / Critical Chance"",
          ""items"": [23,16,19]
        },
        {
          ""name"": ""Attack Speed / True Damage (Max Health) / Splash Damage"",
          ""items"": [23,12,24]
        },
        {
          ""name"": ""Magic Resistance / Revive / True Damage (Max Health)"",
          ""items"": [66,15,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Attack Speed / Life Steal / Critical Damage / Critical Chance"",
          ""items"": [23,16,19]
        },
        {
          ""name"": ""Attack Speed / True Damage (Max Health) / Splash Damage"",
          ""items"": [23,12,24]
        },
        {
          ""name"": ""Magic Resistance / Revive / True Damage (Max Health)"",
          ""items"": [66,15,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Roubo de Vida / Dano Crítico / Chance de Crítico"",
          ""items"": [23,16,19]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Verdadeiro (Vida Máxima) / Dano em área"",
          ""items"": [23,12,24]
        },
        {
          ""name"": ""Resistência Mágica / Reviver / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [66,15,12]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Velocidade de Ataque / Roubo de Vida / Dano Crítico / Chance de Crítico"",
          ""items"": [23,16,19]
        },
        {
          ""name"": ""Velocidade de Ataque / Dano Verdadeiro (Vida Máxima) / Dano em área"",
          ""items"": [23,12,24]
        },
        {
          ""name"": ""Resistência Mágica / Reviver / Dano Verdadeiro (Vida Máxima)"",
          ""items"": [66,15,12]
        }
      ]";;
;;;;Karthus;"""Mana Generation / Mana Generation / Ability Damage""";"""Geração de Mana / Geração de Mana / Dano de Habilidade""";Seraph's Embrace;Seraph's Embrace;Rabadon's Deathcap;"""Mana Generation / Mana Generation / Chance to Spell Crit""";"""Geração de Mana / Geração de Mana / Chance dos Feitiços darem dano Crítico""";Seraph's Embrace;Seraph's Embrace;Jeweled Gauntlet;"""Mana Generation / Ability Damage / Chance to Spell Crit""";"""Geração de Mana / Dano de Habilidade / Chance dos Feitiços darem dano Crítico""";Seraph's Embrace;Rabadon's Deathcap;Jeweled Gauntlet;44;44;33;[44,44,33];44;44;39;[44,44,39];44;33;39;[44,33,39];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Ability Damage"",
          ""items"": [44,44,33]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Chance to Spell Crit"",
          ""items"": [44,44,39]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Chance to Spell Crit"",
          ""items"": [44,33,39]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Ability Damage"",
          ""items"": [44,44,33]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Chance to Spell Crit"",
          ""items"": [44,44,39]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Chance to Spell Crit"",
          ""items"": [44,33,39]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Habilidade"",
          ""items"": [44,44,33]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Chance dos Feitiços darem dano Crítico"",
          ""items"": [44,44,39]
        },
        {
          ""name"": ""Geração de Mana / Dano de Habilidade / Chance dos Feitiços darem dano Crítico"",
          ""items"": [44,33,39]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Habilidade"",
          ""items"": [44,44,33]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Chance dos Feitiços darem dano Crítico"",
          ""items"": [44,44,39]
        },
        {
          ""name"": ""Geração de Mana / Dano de Habilidade / Chance dos Feitiços darem dano Crítico"",
          ""items"": [44,33,39]
        }
      ]";;
;;;;Kassadin;"""Revive / Magic Resistance / Attack Speed""";"""Reviver / Resistência Mágica / Velocidade de Ataque""";Guardian Angel;Dragon's Claw;Guinsoo's Rageblade;"""Attack Speed / Magic Resistance / HP Regeneration""";"""Velocidade de Ataque / Resistência Mágica / Regeneração de Vida""";Guinsoo's Rageblade;Dragon's Claw;Warmog's Armor;"""Attack Speed / HP Regeneration / Life Steal""";"""Velocidade de Ataque / Regeneração de Vida / Roubo de Vida""";Guinsoo's Rageblade;Warmog's Armor;The Bloodthirster;15;66;23;[15,66,23];23;66;77;[23,66,77];23;77;16;[23,77,16];"""bestSets"": [
        {
          ""name"": ""Revive / Magic Resistance / Attack Speed"",
          ""items"": [15,66,23]
        },
        {
          ""name"": ""Attack Speed / Magic Resistance / HP Regeneration"",
          ""items"": [23,66,77]
        },
        {
          ""name"": ""Attack Speed / HP Regeneration / Life Steal"",
          ""items"": [23,77,16]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Revive / Magic Resistance / Attack Speed"",
          ""items"": [15,66,23]
        },
        {
          ""name"": ""Attack Speed / Magic Resistance / HP Regeneration"",
          ""items"": [23,66,77]
        },
        {
          ""name"": ""Attack Speed / HP Regeneration / Life Steal"",
          ""items"": [23,77,16]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reviver / Resistência Mágica / Velocidade de Ataque"",
          ""items"": [15,66,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Resistência Mágica / Regeneração de Vida"",
          ""items"": [23,66,77]
        },
        {
          ""name"": ""Velocidade de Ataque / Regeneração de Vida / Roubo de Vida"",
          ""items"": [23,77,16]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Reviver / Resistência Mágica / Velocidade de Ataque"",
          ""items"": [15,66,23]
        },
        {
          ""name"": ""Velocidade de Ataque / Resistência Mágica / Regeneração de Vida"",
          ""items"": [23,66,77]
        },
        {
          ""name"": ""Velocidade de Ataque / Regeneração de Vida / Roubo de Vida"",
          ""items"": [23,77,16]
        }
      ]";;
;;;;Katarina;"""Ability Damage / Mana Generation / Mana Generation""";"""Dano de Habilidade / Geração de Mana / Geração de Mana""";Rabadon's Deathcap;Seraph's Embrace;Seraph's Embrace;"""Chance to Spell Crit / Ability Damage / Mana Generation""";"""Chance dos Feitiços darem dano Crítico / Dano de Habilidade / Geração de Mana""";Jeweled Gauntlet;Rabadon's Deathcap;Seraph's Embrace;"""Mana Generation / Critical Damage / Critical Chance / Chance to Spell Crit""";"""Geração de Mana / Dano Crítico / Chance de Crítico / Chance dos Feitiços darem dano Crítico""";Seraph's Embrace;Infinity Edge;Jeweled Gauntlet;33;44;44;[33,44,44];39;33;44;[39,33,44];44;19;39;[44,19,39];"""bestSets"": [
        {
          ""name"": ""Ability Damage / Mana Generation / Mana Generation"",
          ""items"": [33,44,44]
        },
        {
          ""name"": ""Chance to Spell Crit / Ability Damage / Mana Generation"",
          ""items"": [39,33,44]
        },
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Chance to Spell Crit"",
          ""items"": [44,19,39]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Ability Damage / Mana Generation / Mana Generation"",
          ""items"": [33,44,44]
        },
        {
          ""name"": ""Chance to Spell Crit / Ability Damage / Mana Generation"",
          ""items"": [39,33,44]
        },
        {
          ""name"": ""Mana Generation / Critical Damage / Critical Chance / Chance to Spell Crit"",
          ""items"": [44,19,39]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Habilidade / Geração de Mana / Geração de Mana"",
          ""items"": [33,44,44]
        },
        {
          ""name"": ""Chance dos Feitiços darem dano Crítico / Dano de Habilidade / Geração de Mana"",
          ""items"": [39,33,44]
        },
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Chance dos Feitiços darem dano Crítico"",
          ""items"": [44,19,39]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Habilidade / Geração de Mana / Geração de Mana"",
          ""items"": [33,44,44]
        },
        {
          ""name"": ""Chance dos Feitiços darem dano Crítico / Dano de Habilidade / Geração de Mana"",
          ""items"": [39,33,44]
        },
        {
          ""name"": ""Geração de Mana / Dano Crítico / Chance de Crítico / Chance dos Feitiços darem dano Crítico"",
          ""items"": [44,19,39]
        }
      ]";;
;;;;Kayle;"""Mana Generation / Mana Generation / Attack Speed""";"""Geração de Mana / Geração de Mana / Velocidade de Ataque""";Spear of Shojin;Spear of Shojin;Guinsoo's Rageblade;"""Mana Generation / Mana Generation / Attack Speed""";"""Geração de Mana / Geração de Mana / Velocidade de Ataque""";Seraph's Embrace;Spear of Shojin;Guinsoo's Rageblade;"""Mana Generation / Attack Speed / HP Regeneration""";"""Geração de Mana / Velocidade de Ataque / Regeneração de Vida""";Spear of Shojin;Guinsoo's Rageblade;Warmog's Armor;14;14;23;[14,14,23];44;14;23;[44,14,23];14;23;77;[14,23,77];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [44,14,23]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / HP Regeneration"",
          ""items"": [14,23,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation / Mana Generation / Attack Speed"",
          ""items"": [44,14,23]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / HP Regeneration"",
          ""items"": [14,23,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [44,14,23]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Regeneração de Vida"",
          ""items"": [14,23,77]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Geração de Mana / Geração de Mana / Velocidade de Ataque"",
          ""items"": [44,14,23]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Regeneração de Vida"",
          ""items"": [14,23,77]
        }
      ]";;
;;;;Kennen;"""Burn Damage / Debuffer (Prevent Heal) / Revive / Magic Resistance""";"""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Resistência Mágica""";Morellonomicon;Guardian Angel;Dragon's Claw;"""Mana Generation / Ability Damage / Attack Speed""";"""Geração de Mana / Dano de Habilidade / Velocidade de Ataque""";Spear of Shojin;Rabadon's Deathcap;Guinsoo's Rageblade;"""HP Regeneration / Debuffer (attack speed) / Magic Resistance""";"""Regeneração de Vida / Debuffer (velocidade de ataque) / Resistência Mágica""";Warmog's Armor;Iceborn Gauntlet;Dragon's Claw;37;15;66;[37,15,66];14;33;23;[14,33,23];77;59;66;[77,59,66];"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Revive / Magic Resistance"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Attack Speed"",
          ""items"": [14,33,23]
        },
        {
          ""name"": ""HP Regeneration / Debuffer (attack speed) / Magic Resistance"",
          ""items"": [77,59,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Burn Damage / Debuffer (Prevent Heal) / Revive / Magic Resistance"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Attack Speed"",
          ""items"": [14,33,23]
        },
        {
          ""name"": ""HP Regeneration / Debuffer (attack speed) / Magic Resistance"",
          ""items"": [77,59,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Resistência Mágica"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Geração de Mana / Dano de Habilidade / Velocidade de Ataque"",
          ""items"": [14,33,23]
        },
        {
          ""name"": ""Regeneração de Vida / Debuffer (velocidade de ataque) / Resistência Mágica"",
          ""items"": [77,59,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano de Queimadura / Debuffer (Previne Cura) / Reviver / Resistência Mágica"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Geração de Mana / Dano de Habilidade / Velocidade de Ataque"",
          ""items"": [14,33,23]
        },
        {
          ""name"": ""Regeneração de Vida / Debuffer (velocidade de ataque) / Resistência Mágica"",
          ""items"": [77,59,66]
        }
      ]";;
;;;;Kha'Zix;"""Critical Damage / Critical Chance / Attack Damage / Life on Hit / Revive""";"""Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar / Reviver""";Infinity Edge;Hand of Justice;Guardian Angel;"""Critical Damage / Critical Chance / True Damage (Max Health) / Life Steal""";"""Dano Crítico / Chance de Crítico / Dano Verdadeiro (Vida Máxima) / Roubo de Vida""";Infinity Edge;Giant Slayer;Hextech Gunblade;"""Life Steal / Critical Damage / Critical Chance / Attack Speed""";"""Roubo de Vida / Dano Crítico / Chance de Crítico / Velocidade de Ataque""";Hextech Gunblade;Infinity Edge;Guinsoo's Rageblade;19;49;15;[19,49,15];19;12;13;[19,12,13];13;19;23;[13,19,23];"""bestSets"": [
        {
          ""name"": ""Critical Damage / Critical Chance / Attack Damage / Life on Hit / Revive"",
          ""items"": [19,49,15]
        },
        {
          ""name"": ""Critical Damage / Critical Chance / True Damage (Max Health) / Life Steal"",
          ""items"": [19,12,13]
        },
        {
          ""name"": ""Life Steal / Critical Damage / Critical Chance / Attack Speed"",
          ""items"": [13,19,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Critical Damage / Critical Chance / Attack Damage / Life on Hit / Revive"",
          ""items"": [19,49,15]
        },
        {
          ""name"": ""Critical Damage / Critical Chance / True Damage (Max Health) / Life Steal"",
          ""items"": [19,12,13]
        },
        {
          ""name"": ""Life Steal / Critical Damage / Critical Chance / Attack Speed"",
          ""items"": [13,19,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar / Reviver"",
          ""items"": [19,49,15]
        },
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Dano Verdadeiro (Vida Máxima) / Roubo de Vida"",
          ""items"": [19,12,13]
        },
        {
          ""name"": ""Roubo de Vida / Dano Crítico / Chance de Crítico / Velocidade de Ataque"",
          ""items"": [13,19,23]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Dano de Ataque / Vida ao acertar / Reviver"",
          ""items"": [19,49,15]
        },
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Dano Verdadeiro (Vida Máxima) / Roubo de Vida"",
          ""items"": [19,12,13]
        },
        {
          ""name"": ""Roubo de Vida / Dano Crítico / Chance de Crítico / Velocidade de Ataque"",
          ""items"": [13,19,23]
        }
      ]";;
;;;;Kindred;"""Splash Damage / Splash Damage / Revive""";"""Dano em área / Dano em área / Reviver""";Statikk Shiv;Statikk Shiv;Guardian Angel;"""Attack Speed / Mana Generation / Buffer (Shield)""";"""Velocidade de Ataque / Geração de Mana / Buffer (Escudo)""";Guinsoo's Rageblade;Spear of Shojin;Locket of the Iron Solari;"""Debuffer (Banish) / Buffer (Shield) / Buffer (Attack Speed)""";"""Debuffer (Banimento) / Buffer (Escudo) / Buffer (Velocidade de Ataque)""";Zephyr;Locket of the Iron Solari;Zeke's Herald;24;24;15;[24,24,15];23;14;35;[23,14,35];67;35;17;[67,35,17];"""bestSets"": [
        {
          ""name"": ""Splash Damage / Splash Damage / Revive"",
          ""items"": [24,24,15]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Buffer (Shield)"",
          ""items"": [23,14,35]
        },
        {
          ""name"": ""Debuffer (Banish) / Buffer (Shield) / Buffer (Attack Speed)"",
          ""items"": [67,35,17]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Splash Damage / Splash Damage / Revive"",
          ""items"": [24,24,15]
        },
        {
          ""name"": ""Attack Speed / Mana Generation / Buffer (Shield)"",
          ""items"": [23,14,35]
        },
        {
          ""name"": ""Debuffer (Banish) / Buffer (Shield) / Buffer (Attack Speed)"",
          ""items"": [67,35,17]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano em área / Dano em área / Reviver"",
          ""items"": [24,24,15]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Buffer (Escudo)"",
          ""items"": [23,14,35]
        },
        {
          ""name"": ""Debuffer (Banimento) / Buffer (Escudo) / Buffer (Velocidade de Ataque)"",
          ""items"": [67,35,17]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Dano em área / Dano em área / Reviver"",
          ""items"": [24,24,15]
        },
        {
          ""name"": ""Velocidade de Ataque / Geração de Mana / Buffer (Escudo)"",
          ""items"": [23,14,35]
        },
        {
          ""name"": ""Debuffer (Banimento) / Buffer (Escudo) / Buffer (Velocidade de Ataque)"",
          ""items"": [67,35,17]
        }
      ]";;
;;;;Leona;"""Debuffer (Banish) / Magic Resistance / Revive""";"""Debuffer (Banimento) / Resistência Mágica / Reviver""";Zephyr;Dragon's Claw;Guardian Angel;"""Debuffer (Slow) / HP Regeneration / Magic Resistance""";"""Debuffer (Lentidão) / Regeneração de Vida / Resistência Mágica""";Frozen Heart;Warmog's Armor;Dragon's Claw;"""Debuffer (attack speed) / HP Regeneration / Magic Resistance""";"""Debuffer (velocidade de ataque) / Regeneração de Vida / Resistência Mágica""";Iceborn Gauntlet;Warmog's Armor;Dragon's Claw;67;66;15;[67,66,15];45;77;66;[45,77,66];59;77;66;[59,77,66];"""bestSets"": [
        {
          ""name"": ""Debuffer (Banish) / Magic Resistance / Revive"",
          ""items"": [67,66,15]
        },
        {
          ""name"": ""Debuffer (Slow) / HP Regeneration / Magic Resistance"",
          ""items"": [45,77,66]
        },
        {
          ""name"": ""Debuffer (attack speed) / HP Regeneration / Magic Resistance"",
          ""items"": [59,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Banish) / Magic Resistance / Revive"",
          ""items"": [67,66,15]
        },
        {
          ""name"": ""Debuffer (Slow) / HP Regeneration / Magic Resistance"",
          ""items"": [45,77,66]
        },
        {
          ""name"": ""Debuffer (attack speed) / HP Regeneration / Magic Resistance"",
          ""items"": [59,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Banimento) / Resistência Mágica / Reviver"",
          ""items"": [67,66,15]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Regeneração de Vida / Resistência Mágica"",
          ""items"": [45,77,66]
        },
        {
          ""name"": ""Debuffer (velocidade de ataque) / Regeneração de Vida / Resistência Mágica"",
          ""items"": [59,77,66]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Debuffer (Banimento) / Resistência Mágica / Reviver"",
          ""items"": [67,66,15]
        },
        {
          ""name"": ""Debuffer (Lentidão) / Regeneração de Vida / Resistência Mágica"",
          ""items"": [45,77,66]
        },
        {
          ""name"": ""Debuffer (velocidade de ataque) / Regeneração de Vida / Resistência Mágica"",
          ""items"": [59,77,66]
        }
      ]";;
;;;;Lissandra;"""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)""";"""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)""";Seraph's Embrace;Seraph's Embrace;Morellonomicon;"""HP Regeneration / Magic Resistance / Mana Generation""";"""Regeneração de Vida / Resistência Mágica / Geração de Mana""";Warmog's Armor;Dragon's Claw;Seraph's Embrace;"""HP Regeneration / Magic Resistance / Dodge Critical Damage""";"""Regeneração de Vida / Resistência Mágica / Esquiva Dano Crítico""";Warmog's Armor;Dragon's Claw;Phantom Dancer;44;44;37;[44,44,37];77;66;44;[77,66,44];77;66;25;[77,66,25];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""HP Regeneration / Magic Resistance / Mana Generation"",
          ""items"": [77,66,44]
        },
        {
          ""name"": ""HP Regeneration / Magic Resistance / Dodge Critical Damage"",
          ""items"": [77,66,25]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Mana Generation / Burn Damage / Debuffer (Prevent Heal)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""HP Regeneration / Magic Resistance / Mana Generation"",
          ""items"": [77,66,44]
        },
        {
          ""name"": ""HP Regeneration / Magic Resistance / Dodge Critical Damage"",
          ""items"": [77,66,25]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Regeneração de Vida / Resistência Mágica / Geração de Mana"",
          ""items"": [77,66,44]
        },
        {
          ""name"": ""Regeneração de Vida / Resistência Mágica / Esquiva Dano Crítico"",
          ""items"": [77,66,25]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Geração de Mana / Dano de Queimadura / Debuffer (Previne Cura)"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Regeneração de Vida / Resistência Mágica / Geração de Mana"",
          ""items"": [77,66,44]
        },
        {
          ""name"": ""Regeneração de Vida / Resistência Mágica / Esquiva Dano Crítico"",
          ""items"": [77,66,25]
        }
      ]";;
;;;;Lucian;"""Mana Generation / Life Steal / Splash Damage""";"""Geração de Mana / Roubo de Vida / Dano em área""";Seraph's Embrace;Hextech Gunblade;Luden's Echo;"""Critical Damage / Critical Chance / Attack Speed / Life Steal""";"""Dano Crítico / Chance de Crítico / Velocidade de Ataque / Roubo de Vida""";Infinity Edge;Guinsoo's Rageblade;Hextech Gunblade;"""Mana Generation / Attack Speed / Life Steal""";"""Geração de Mana / Velocidade de Ataque / Roubo de Vida""";Spear of Shojin;Guinsoo's Rageblade;Hextech Gunblade;44;13;34;[44,13,34];19;23;13;[19,23,13];14;23;13;[14,23,13];"""bestSets"": [
        {
          ""name"": ""Mana Generation / Life Steal / Splash Damage"",
          ""items"": [44,13,34]
        },
        {
          ""name"": ""Critical Damage / Critical Chance / Attack Speed / Life Steal"",
          ""items"": [19,23,13]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Life Steal"",
          ""items"": [14,23,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Mana Generation / Life Steal / Splash Damage"",
          ""items"": [44,13,34]
        },
        {
          ""name"": ""Critical Damage / Critical Chance / Attack Speed / Life Steal"",
          ""items"": [19,23,13]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Life Steal"",
          ""items"": [14,23,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Roubo de Vida / Dano em área"",
          ""items"": [44,13,34]
        },
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Velocidade de Ataque / Roubo de Vida"",
          ""items"": [19,23,13]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Roubo de Vida"",
          ""items"": [14,23,13]
        }
      ]";"""bestSets"": [
        {
          ""name"": ""Geração de Mana / Roubo de Vida / Dano em área"",
          ""items"": [44,13,34]
        },
        {
          ""name"": ""Dano Crítico / Chance de Crítico / Velocidade de Ataque / Roubo de Vida"",
          ""items"": [19,23,13]
        },
        {
          ""name"": ""Geração de Mana / Velocidade de Ataque / Roubo de Vida"",
          ""items"": [14,23,13]
        }
      ]";;
