ITEM,ID,IMAGEM,,Champion,NAME S1,DESCR S1,S1I1,S1I2,S1I3,NAME S2,DESCR S2,S2I1,S2I2,S2I3,NAME S3,DESCR S3,S3I1,S3I2,S3I3,ID S1I1,ID S1I2,ID S1I3,CONC,ID S2I1,ID S2I2,ID S2I3,CONC,ID S3I1,ID S3I2,ID S3I3,CONC,CODE,Tabulado,,,
Red Buff,57,,,Kennen,"""Burn Damage / Revive / Survivability""","""Item set focused on survivability, magic resistance, revive and burn damage on cast""",Morellonomicon,Guardian Angel,Dragon's Claw,"""Abbility Damage / Mana generation / Attack Speed""","""Item set focused on  mana generation, ability / spell damage and attack speed""",Spear of Shojin,Rabadon's Deathcap,Guinsoo's Rageblade,"""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,37,15,66,"[37,15,66]",14,33,23,"[14,33,23]",67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Burn Damage / Revive / Survivability"",
          ""description"": ""Item set focused on survivability, magic resistance, revive and burn damage on cast"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Abbility Damage / Mana generation / Attack Speed"",
          ""description"": ""Item set focused on  mana generation, ability / spell damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Burn Damage / Revive / Survivability"",
          ""description"": ""Item set focused on survivability, magic resistance, revive and burn damage on cast"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Abbility Damage / Mana generation / Attack Speed"",
          ""description"": ""Item set focused on  mana generation, ability / spell damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Redemption,47,,,Kha'Zix,"""Attack Speed / Critical Damage / Survivability""","""Item set focused on attack speed, critical damage and some survivability""",Infinity Edge,Rapid Firecannon,Phantom Dancer,"""Survivability / Life Steal / Critical Damage""","""Item set focused on  survivability, life steal and critical damage""",Phantom Dancer,Hextech Gunblade,Infinity Edge,"""Attack Speed / Life Steal / Critical Damage""","""Item set focused on  attack speed, life steal and critical damage""",Hextech Gunblade,Infinity Edge,Guinsoo's Rageblade,11,22,25,"[11,22,25]",25,13,11,"[25,13,11]",13,11,23,"[13,11,23]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Critical Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, critical damage and some survivability"",
          ""items"": [11,22,25]
        },
        {
          ""name"": ""Survivability / Life Steal / Critical Damage"",
          ""description"": ""Item set focused on  survivability, life steal and critical damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Critical Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, critical damage and some survivability"",
          ""items"": [11,22,25]
        },
        {
          ""name"": ""Survivability / Life Steal / Critical Damage"",
          ""description"": ""Item set focused on  survivability, life steal and critical damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Runaan's Hurricane,68,,,Kindred,"""Splash Damage / Attack Speed / Revive""","""Item set focused on splash damage on attack, attack speed and revive""",Statikk Shiv,Statikk Shiv,Guardian Angel,"""Survivability / Mana generation / Buff""","""Item set focused on  survivability, buff allies and mana generation""",Phantom Dancer,Spear of Shojin,Locket of the Iron Solari,"""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,24,24,15,"[24,24,15]",25,14,35,"[25,14,35]",67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed / Revive"",
          ""description"": ""Item set focused on splash damage on attack, attack speed and revive"",
          ""items"": [24,24,15]
        },
        {
          ""name"": ""Survivability / Mana generation / Buff"",
          ""description"": ""Item set focused on  survivability, buff allies and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Attack Speed / Revive"",
          ""description"": ""Item set focused on splash damage on attack, attack speed and revive"",
          ""items"": [24,24,15]
        },
        {
          ""name"": ""Survivability / Mana generation / Buff"",
          ""description"": ""Item set focused on  survivability, buff allies and mana generation"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Seraph's Embrace,44,,,Leona,"""Survivability / Buffer / Debuffer""","""Item set focused on survivability, buff allies and  debuff enemies""",Frozen Heart,Locket of the Iron Solari,Zeke's Herald,"""Survivability / Heal / Debuff""","""Item set focused on  survivability (max HP and HP regeneration), debuff enemies and heal allies""",Frozen Heart,Warmog's Armor,Redemption,"""Survivability / Heal / Debuff""","""Item set focused on  survivability (max HP and HP regeneration), debuff enemies and magic resistance""",Frozen Heart,Warmog's Armor,Dragon's Claw,45,35,17,"[45,35,17]",45,77,47,"[45,77,47]",45,77,66,"[45,77,66]","""bestSets"": [
        {
          ""name"": ""Survivability / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies and  debuff enemies"",
          ""items"": [45,35,17]
        },
        {
          ""name"": ""Survivability / Heal / Debuff"",
          ""description"": ""Item set focused on  survivability (max HP and HP regeneration), debuff enemies and heal allies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies and  debuff enemies"",
          ""items"": [45,35,17]
        },
        {
          ""name"": ""Survivability / Heal / Debuff"",
          ""description"": ""Item set focused on  survivability (max HP and HP regeneration), debuff enemies and heal allies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Spatula,8,,,Lissandra,"""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,"""Survivability / Buffer""","""Item set focused on survivability (max HP and HP regeneration) and buff allies""",Warmog's Armor,Locket of the Iron Solari,Zeke's Herald,"""Survivability""","""Item set focused on strong survivability (max HP and HP regeneration), magic resistance and immunity to critical""",Warmog's Armor,Dragon's Claw,Phantom Dancer,67,35,17,"[67,35,17]",77,35,17,"[77,35,17]",77,66,25,"[77,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        },
        {
          ""name"": ""Survivability / Buffer"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration) and buff allies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        },
        {
          ""name"": ""Survivability / Buffer"",
          ""description"": ""Item set focused on survivability (max HP and HP regeneration) and buff allies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Spatula,100,,,Lucian,"""Mana generation / Life Steal / Splash Damage""","""Item set focused on mana generation, life steal and splash damage on spell""",Seraph's Embrace,Hextech Gunblade,Luden's Echo,"""Splash Damage / Attack Speed / Life Steal""","""Item set focused on strong splash damage, attack speed and life steal""",Statikk Shiv,Statikk Shiv,Hextech Gunblade,"""Mana Generation / Attack Speed / Survivability""","""Item set focused on attack speed, mana generation on attack and life steal""",Spear of Shojin,Guinsoo's Rageblade,Hextech Gunblade,44,13,34,"[44,13,34]",24,24,13,"[24,24,13]",14,23,13,"[14,23,13]","""bestSets"": [
        {
          ""name"": ""Mana generation / Life Steal / Splash Damage"",
          ""description"": ""Item set focused on mana generation, life steal and splash damage on spell"",
          ""items"": [44,13,34]
        },
        {
          ""name"": ""Splash Damage / Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong splash damage, attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana generation / Life Steal / Splash Damage"",
          ""description"": ""Item set focused on mana generation, life steal and splash damage on spell"",
          ""items"": [44,13,34]
        },
        {
          ""name"": ""Splash Damage / Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong splash damage, attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Spear of Shojin,14,,,Lulu,"""Mana Generation / Attack Speed""","""Item set focused on strong mana generation and attack speed""",Spear of Shojin,Spear of Shojin,Guinsoo's Rageblade,"""Mana Generation / Attack Speed / Spell Damage""","""Item set focused on strong attack speed and mana regeneration""",Seraph's Embrace,Guinsoo's Rageblade,Guinsoo's Rageblade,"""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,14,14,23,"[14,14,23]",44,23,23,"[44,23,23]",67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on strong mana generation and attack speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed and mana regeneration"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on strong mana generation and attack speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed and mana regeneration"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Statikk Shiv,24,,,Miss Fortune,"""Mana Generation / Spell Damage / Burn Damage""","""Item set focused on strong mana generation, spell damage and burn damage""",Seraph's Embrace,Seraph's Embrace,Morellonomicon,"""Mana Generation / Ability Damage / Spell Damage"" ","""Item set focused on strong mana regeneration and abillity / spell damage""",Spear of Shojin,Rabadon's Deathcap,Seraph's Embrace,"""Mana Generation / Spell Damage / Burn Damage""","""Item set focused on strong mana generation, spell / ability damage""",Seraph's Embrace,Seraph's Embrace,Rabadon's Deathcap,44,44,37,"[44,44,37]",14,33,44,"[14,33,44]",44,44,33,"[44,44,33]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Spell Damage / Burn Damage"",
          ""description"": ""Item set focused on strong mana generation, spell damage and burn damage"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Spell Damage"" ,
          ""description"": ""Item set focused on strong mana regeneration and abillity / spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Spell Damage / Burn Damage"",
          ""description"": ""Item set focused on strong mana generation, spell damage and burn damage"",
          ""items"": [44,44,37]
        },
        {
          ""name"": ""Mana Generation / Ability Damage / Spell Damage"" ,
          ""description"": ""Item set focused on strong mana regeneration and abillity / spell damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Sword Breaker,56,,,Mordekaiser,"""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,"""Survivability""","""Item set focused on strong survivability (max HP and HP regeneration), magic resistance and immunity to critical""",Dragon's Claw,Phantom Dancer,Warmog's Armor,"""Survivability / Debuffer""","""Item set focused on strong survivability (max HP and HP regeneration), immunity to critical and debuff enemies""",Frozen Heart,Warmog's Armor,Phantom Dancer,45,66,25,"[45,66,25]",66,25,77,"[66,25,77]",45,77,25,"[45,77,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        },
        {
          ""name"": ""Survivability"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regeneration), magic resistance and immunity to critical"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        },
        {
          ""name"": ""Survivability"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regeneration), magic resistance and immunity to critical"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Sword of the Divine,12,,,Morgana,"""Burn damage / Splash Damage / Revive""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Morellonomicon,Guardian Angel,Dragon's Claw,"""Mana Generation / Burn damage / Splash Damage""","""Item set focused on mana generation, burn damage on spell and splash damage""",Seraph's Embrace,Morellonomicon,Luden's Echo,"""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,37,15,66,"[37,15,66]",44,37,34,"[44,37,34]",67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Burn damage / Splash Damage / Revive"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Mana Generation / Burn damage / Splash Damage"",
          ""description"": ""Item set focused on mana generation, burn damage on spell and splash damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Burn damage / Splash Damage / Revive"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [37,15,66]
        },
        {
          ""name"": ""Mana Generation / Burn damage / Splash Damage"",
          ""description"": ""Item set focused on mana generation, burn damage on spell and splash damage"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Tear of the Goddess,4,,,Nidalee,"""Survivability / Attack Speed""","""Item set focused on attack speed, survivability, magic resistance and immunity to critical""",Guinsoo's Rageblade,Phantom Dancer,Dragon's Claw,"""Attack Speed / Life Steal""","""Item set focused on strong attack speed and life steal""",Guinsoo's Rageblade,Rapid Firecannon,The Bloodthirster,"""Attack Speed / Spell Damage""","""Item set focused on strong attack speed and spell damage""",Guinsoo's Rageblade,Guinsoo's Rageblade,Rapid Firecannon,23,25,66,"[23,25,66]",23,22,16,"[23,22,16]",23,23,22,"[23,23,22]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on attack speed, survivability, magic resistance and immunity to critical"",
          ""items"": [23,25,66]
        },
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on attack speed, survivability, magic resistance and immunity to critical"",
          ""items"": [23,25,66]
        },
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
The Bloodthirster,16,,,Poppy,"""Survivability / Reflect Damage""","""Item set focused on survivability, magic resistance, critical immunity and reflect mitigated damage""",Thornmail,Dragon's Claw,Phantom Dancer,"""Survivability / Debuff""","""Item set focused on survivability and debuff enemies""",Dragon's Claw,Thornmail,Frozen Heart,"""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,55,66,25,"[55,66,25]",66,55,45,"[66,55,45]",45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Reflect Damage"",
          ""description"": ""Item set focused on survivability, magic resistance, critical immunity and reflect mitigated damage"",
          ""items"": [55,66,25]
        },
        {
          ""name"": ""Survivability / Debuff"",
          ""description"": ""Item set focused on survivability and debuff enemies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Reflect Damage"",
          ""description"": ""Item set focused on survivability, magic resistance, critical immunity and reflect mitigated damage"",
          ""items"": [55,66,25]
        },
        {
          ""name"": ""Survivability / Debuff"",
          ""description"": ""Item set focused on survivability and debuff enemies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Thornmail,55,,,Pyke,"""Mana Generation / Attack Speed / Attack Damage""","""Item set focused on strong mana generation, attack damage and attack speed""",Spear of Shojin,Spear of Shojin,Guinsoo's Rageblade,"""Survivability / Mana Generation""","""Item set focused on strong mana generation and survivability""",Spear of Shojin,Spear of Shojin,Phantom Dancer,"""Mana Generation / Life Steal""","""Item set focused on strong mana generation and life steal""",Spear of Shojin,Spear of Shojin,Hextech Gunblade,14,14,23,"[14,14,23]",14,14,25,"[14,14,25]",14,14,13,"[14,14,13]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Survivability / Mana Generation"",
          ""description"": ""Item set focused on strong mana generation and survivability"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        },
        {
          ""name"": ""Survivability / Mana Generation"",
          ""description"": ""Item set focused on strong mana generation and survivability"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Titanic Hydra,27,,,Rek'Sai,"""Survivability / Debuffer""","""Item set focused on strong survivability (max HP and HP regeneration) and enemies debuff""",Warmog's Armor,Warmog's Armor,Frozen Heart,"""Survivability / Splash Damage / Attack Speed""","""Item set focused on strong survivability (max HP and HP regen), max HP damage and attack speed""",Phantom Dancer,Titanic Hydra,Warmog's Armor,"""Survivability / Debuff / HP Damage""","""Item set focused on strong survivability, enemy debuff and max HP damage""",Frozen Heart,Warmog's Armor,Titanic Hydra,77,77,45,"[77,77,45]",25,27,77,"[25,27,77]",45,77,27,"[45,77,27]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regeneration) and enemies debuff"",
          ""items"": [77,77,45]
        },
        {
          ""name"": ""Survivability / Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regen), max HP damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regeneration) and enemies debuff"",
          ""items"": [77,77,45]
        },
        {
          ""name"": ""Survivability / Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regen), max HP damage and attack speed"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Warmog's Armor,77,,,Rengar,"""Attack Speed / Revive / Splash Damage""","""Item set focused on attack speed, splash damage on attack and revive, besides increased range""",Guardian Angel,Statikk Shiv,Rapid Firecannon,"""Critical Damage / Attack Speed / Life Steal""","""Item set focused on attack speed, critical damage and life steal""",Guinsoo's Rageblade,Infinity Edge,The Bloodthirster,"""Attack Speed / Critical Damage / Survivability""","""Item set focused on attack speed, critical damage and some survivability""",Infinity Edge,Rapid Firecannon,Phantom Dancer,15,24,22,"[15,24,22]",23,11,16,"[23,11,16]",11,22,25,"[11,22,25]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Revive / Splash Damage"",
          ""description"": ""Item set focused on attack speed, splash damage on attack and revive, besides increased range"",
          ""items"": [15,24,22]
        },
        {
          ""name"": ""Critical Damage / Attack Speed / Life Steal"",
          ""description"": ""Item set focused on attack speed, critical damage and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Revive / Splash Damage"",
          ""description"": ""Item set focused on attack speed, splash damage on attack and revive, besides increased range"",
          ""items"": [15,24,22]
        },
        {
          ""name"": ""Critical Damage / Attack Speed / Life Steal"",
          ""description"": ""Item set focused on attack speed, critical damage and life steal"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
Youmuu's Ghostblade,18,,,Sejuani,"""Mana Generation / Burn Damage / Revive""","""Item set focused on mana generation, burn damage on spell and revive""",Spear of Shojin,Guardian Angel,Morellonomicon,"""Mana generation / Survivability /Debuf / Heal""","""Item set focused on survivability, mana generation, debuff enemies and heal allies""",Frozen Heart,Spear of Shojin,Redemption,"""Mana Generation / Survivability""","""Item set focused on survivability (max HP and HP regeneration), magic resistance and mana generation""",Seraph's Embrace,Warmog's Armor,Dragon's Claw,14,15,37,"[14,15,37]",45,14,47,"[45,14,47]",44,77,66,"[44,77,66]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Burn Damage / Revive"",
          ""description"": ""Item set focused on mana generation, burn damage on spell and revive"",
          ""items"": [14,15,37]
        },
        {
          ""name"": ""Mana generation / Survivability /Debuf / Heal"",
          ""description"": ""Item set focused on survivability, mana generation, debuff enemies and heal allies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Burn Damage / Revive"",
          ""description"": ""Item set focused on mana generation, burn damage on spell and revive"",
          ""items"": [14,15,37]
        },
        {
          ""name"": ""Mana generation / Survivability /Debuf / Heal"",
          ""description"": ""Item set focused on survivability, mana generation, debuff enemies and heal allies"",
          ""items"": [45,25,66]
        },
        {
          ""name"": ""Life Steal / Survivability / Life regeneration"",
          ""description"": ""Item set focused on life steal from attacks and ability and survivability (max hp and life regeneration)"",
          ""items"": [13,77,66]
        }
      ]",,,
