ITEM,ID,IMAGEM,,Champion,NAME S1,DESCR S1,S1I1,S1I2,S1I3,ID S1I1,ID S1I2,ID S1I3,CONC,NAME S2,DESCR S2,S2I1,S2I2,S2I3,ID S2I1,ID S2I2,ID S2I3,CONC,CODE,Tabulado,,,,Teste,Minimo,Máximo
Rapid Firecannon,22,,,Kha'Zix,"""Survivability / Life Steal / Critical Damage""","""Item set focused on  survivability, life steal and critical damage""",Phantom Dancer,Hextech Gunblade,Infinity Edge,25,13,11,"[25,13,11]","""Attack Speed / Critical Damage / Survivability""","""Item set focused on attack speed, critical damage and some survivability""",Infinity Edge,Rapid Firecannon,Phantom Dancer,11,22,25,"[11,22,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Steal / Critical Damage"",
          ""description"": ""Item set focused on  survivability, life steal and critical damage"",
          ""items"": [25,13,11]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, critical damage and some survivability"",
          ""items"": [11,22,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Steal / Critical Damage"",
          ""description"": ""Item set focused on  survivability, life steal and critical damage"",
          ""items"": [25,13,11]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, critical damage and some survivability"",
          ""items"": [11,22,25]
        }
      ]",,,,,,
Recurve Bow,2,,,Kindred,"""Survivability / Mana generation / Buff""","""Item set focused on  survivability, buff allies and mana generation""",Phantom Dancer,Seraph's Embrace,Locket of the Iron Solari,25,44,35,"[25,44,35]","""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Survivability / Mana generation / Buff"",
          ""description"": ""Item set focused on  survivability, buff allies and mana generation"",
          ""items"": [25,44,35]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Mana generation / Buff"",
          ""description"": ""Item set focused on  survivability, buff allies and mana generation"",
          ""items"": [25,44,35]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]",,,,,,
Red Buff,57,,,Leona,"""Survivability / Heal / Debuff""","""Item set focused on  survivability, debuff enemies and heal allies""",Frozen Heart,Warmog's Armor,Redemption,45,77,47,"[45,77,47]","""Survivability / Buffer / Debuffer""","""Item set focused on survivability, buff allies and  debuff enemies""",Frozen Heart,Locket of the Iron Solari,Zeke's Herald,45,35,17,"[45,35,17]","""bestSets"": [
        {
          ""name"": ""Survivability / Heal / Debuff"",
          ""description"": ""Item set focused on  survivability, debuff enemies and heal allies"",
          ""items"": [45,77,47]
        },
        {
          ""name"": ""Survivability / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies and  debuff enemies"",
          ""items"": [45,35,17]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Heal / Debuff"",
          ""description"": ""Item set focused on  survivability, debuff enemies and heal allies"",
          ""items"": [45,77,47]
        },
        {
          ""name"": ""Survivability / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies and  debuff enemies"",
          ""items"": [45,35,17]
        }
      ]",,,,,,
Redemption,47,,,Lissandra,"""Survivability / Buff / Burn Damage""","""Item set focused on  burn damage, buff allies and survivability (max hp and hp regen)""",Morellonomicon,Warmog's Armor,Locket of the Iron Solari,37,77,35,"[37,77,35]","""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Survivability / Buff / Burn Damage"",
          ""description"": ""Item set focused on  burn damage, buff allies and survivability (max hp and hp regen)"",
          ""items"": [37,77,35]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Buff / Burn Damage"",
          ""description"": ""Item set focused on  burn damage, buff allies and survivability (max hp and hp regen)"",
          ""items"": [37,77,35]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]",,,,,,
Runaan's Hurricane,68,,,Lucian,"""Critical Damage / Attack Damage / Attack Speed""","""Item set focused on strong critical damage, attack damage and attack speed""",Infinity Edge,Rapid Firecannon,Sword of the Divine,11,22,12,"[11,22,12]","""Ability Damage / Spell Damage / Splash Damage""","""Item set focused on strong ability / spell damage and splash damage""",Rabadon's Deathcap,Rabadon's Deathcap,Luden's Echo,33,33,34,"[33,33,34]","""bestSets"": [
        {
          ""name"": ""Critical Damage / Attack Damage / Attack Speed"",
          ""description"": ""Item set focused on strong critical damage, attack damage and attack speed"",
          ""items"": [11,22,12]
        },
        {
          ""name"": ""Ability Damage / Spell Damage / Splash Damage"",
          ""description"": ""Item set focused on strong ability / spell damage and splash damage"",
          ""items"": [33,33,34]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Critical Damage / Attack Damage / Attack Speed"",
          ""description"": ""Item set focused on strong critical damage, attack damage and attack speed"",
          ""items"": [11,22,12]
        },
        {
          ""name"": ""Ability Damage / Spell Damage / Splash Damage"",
          ""description"": ""Item set focused on strong ability / spell damage and splash damage"",
          ""items"": [33,33,34]
        }
      ]",,,,,,
Seraph's Embrace,44,,,Lulu,"""Mana Generation / Attack Speed / Spell Damage""","""Item set focused on strong attack speed and mana regeneration""",Seraph's Embrace,Guinsoo's Rageblade,Guinsoo's Rageblade,44,23,23,"[44,23,23]","""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed and mana regeneration"",
          ""items"": [44,23,23]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Attack Speed / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed and mana regeneration"",
          ""items"": [44,23,23]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]",,,,,,
Spatula,8,,,Miss Fortune,"""Mana Generation / Ability Damage / Spell Damage"" ","""Item set focused on strong mana regeneration and abillity / spell damage""",Spear of Shojin,Rabadon's Deathcap,Seraph's Embrace,14,33,44,"[14,33,44]","""Mana Generation / Spell Damage / Burn Damage""","""Item set focused on strong mana generation, spell damage and burn damage""",Seraph's Embrace,Seraph's Embrace,Morellonomicon,44,44,37,"[44,44,37]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage / Spell Damage"" ,
          ""description"": ""Item set focused on strong mana regeneration and abillity / spell damage"",
          ""items"": [14,33,44]
        },
        {
          ""name"": ""Mana Generation / Spell Damage / Burn Damage"",
          ""description"": ""Item set focused on strong mana generation, spell damage and burn damage"",
          ""items"": [44,44,37]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage / Spell Damage"" ,
          ""description"": ""Item set focused on strong mana regeneration and abillity / spell damage"",
          ""items"": [14,33,44]
        },
        {
          ""name"": ""Mana Generation / Spell Damage / Burn Damage"",
          ""description"": ""Item set focused on strong mana generation, spell damage and burn damage"",
          ""items"": [44,44,37]
        }
      ]",,,,,,
Spatula,100,,,Mordekaiser,"""Survivability / Debuff Enemies""","""Item set focused on strong survivability and debuff enemies""",Frozen Heart,Thornmail,Warmog's Armor,45,55,77,"[45,55,77]","""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuff Enemies"",
          ""description"": ""Item set focused on strong survivability and debuff enemies"",
          ""items"": [45,55,77]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuff Enemies"",
          ""description"": ""Item set focused on strong survivability and debuff enemies"",
          ""items"": [45,55,77]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]",,,,,,
Spear of Shojin,14,,,Morgana,"""Survivability / Heal / Buff""","""Item set focused on strong attack speed and life steal""",Phantom Dancer,Redemption,Locket of the Iron Solari,25,47,35,"[25,47,35]","""Survivability / Buffer / Disable""","""Item set focused on survivability, buff allies and disable a enemy on start of combat""",Zephyr,Locket of the Iron Solari,Zeke's Herald,67,35,17,"[67,35,17]","""bestSets"": [
        {
          ""name"": ""Survivability / Heal / Buff"",
          ""description"": ""Item set focused on strong attack speed and life steal"",
          ""items"": [25,47,35]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Heal / Buff"",
          ""description"": ""Item set focused on strong attack speed and life steal"",
          ""items"": [25,47,35]
        },
        {
          ""name"": ""Survivability / Buffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies and disable a enemy on start of combat"",
          ""items"": [67,35,17]
        }
      ]",,,,,,
Statikk Shiv,24,,,Nidalee,"""Attack Speed / Life Steal""","""Item set focused on strong attack speed and life steal""",Guinsoo's Rageblade,Rapid Firecannon,The Bloodthirster,23,22,16,"[23,22,16]","""Attack Speed / Spell Damage""","""Item set focused on strong attack speed and spell damage""",Guinsoo's Rageblade,Guinsoo's Rageblade,Rapid Firecannon,23,23,22,"[23,23,22]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed and life steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed and spell damage"",
          ""items"": [23,23,22]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed and life steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed and spell damage"",
          ""items"": [23,23,22]
        }
      ]",,,,,,
Sword Breaker,56,,,Poppy,"""Survivability / Debuff""","""Item set focused on survivability and debuff enemies""",Dragon's Claw,Thornmail,Frozen Heart,66,55,45,"[66,55,45]","""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuff"",
          ""description"": ""Item set focused on survivability and debuff enemies"",
          ""items"": [66,55,45]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Debuff"",
          ""description"": ""Item set focused on survivability and debuff enemies"",
          ""items"": [66,55,45]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]",,,,,,
Sword of the Divine,12,,,Pyke,"""Survivability / Mana Generation""","""Item set focused on strong mana generation and survivability""",Spear of Shojin,Spear of Shojin,Phantom Dancer,14,14,25,"[14,14,25]","""Mana Generation / Attack Speed / Attack Damage""","""Item set focused on strong mana generation, attack damage and attack speed""",Spear of Shojin,Spear of Shojin,Guinsoo's Rageblade,14,14,23,"[14,14,23]","""bestSets"": [
        {
          ""name"": ""Survivability / Mana Generation"",
          ""description"": ""Item set focused on strong mana generation and survivability"",
          ""items"": [14,14,25]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Mana Generation"",
          ""description"": ""Item set focused on strong mana generation and survivability"",
          ""items"": [14,14,25]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        }
      ]",,,,,,
Tear of the Goddess,4,,,Rek'Sai,"""Survivability / Splash Damage / Attack Speed""","""Item set focused on strong survivability (max HP and HP regen), max HP damage and attack speed""",Phantom Dancer,Titanic Hydra,Warmog's Armor,25,27,77,"[25,27,77]","""Survivability / Debuff / HP Damage""","""Item set focused on strong survivability, enemy debuff and max HP damage""",Frozen Heart,Warmog's Armor,Titanic Hydra,45,77,27,"[45,77,27]","""bestSets"": [
        {
          ""name"": ""Survivability / Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regen), max HP damage and attack speed"",
          ""items"": [25,27,77]
        },
        {
          ""name"": ""Survivability / Debuff / HP Damage"",
          ""description"": ""Item set focused on strong survivability, enemy debuff and max HP damage"",
          ""items"": [45,77,27]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Splash Damage / Attack Speed"",
          ""description"": ""Item set focused on strong survivability (max HP and HP regen), max HP damage and attack speed"",
          ""items"": [25,27,77]
        },
        {
          ""name"": ""Survivability / Debuff / HP Damage"",
          ""description"": ""Item set focused on strong survivability, enemy debuff and max HP damage"",
          ""items"": [45,77,27]
        }
      ]",,,,,,
The Bloodthirster,16,,,Rengar,"""Critical Damage / Attack Damage / Attack Speed""","""Item set focused on strong critical damage, attack damage and attack speed""",Guinsoo's Rageblade,Infinity Edge,Sword of the Divine,23,11,12,"[23,11,12]","""Attack Speed / Critical Damage / Survivability""","""Item set focused on attack speed, critical damage and some survivability""",Infinity Edge,Rapid Firecannon,Phantom Dancer,11,22,25,"[11,22,25]","""bestSets"": [
        {
          ""name"": ""Critical Damage / Attack Damage / Attack Speed"",
          ""description"": ""Item set focused on strong critical damage, attack damage and attack speed"",
          ""items"": [23,11,12]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, critical damage and some survivability"",
          ""items"": [11,22,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Critical Damage / Attack Damage / Attack Speed"",
          ""description"": ""Item set focused on strong critical damage, attack damage and attack speed"",
          ""items"": [23,11,12]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, critical damage and some survivability"",
          ""items"": [11,22,25]
        }
      ]",,,,,,
Thornmail,55,,,Sejuani,"""Mana generation / Survivability /Debuf / Heal""","""Item set focused on survivability, mana generation, debuff enemies and heal allies""",Frozen Heart,Spear of Shojin,Redemption,45,14,47,"[45,14,47]","""Survability / Mana Generation""","""Item set focused on survivability, mana generation and some attacks speed /attack damage""",Spear of Shojin,Dragon's Claw,Phantom Dancer,14,66,25,"[14,66,25]","""bestSets"": [
        {
          ""name"": ""Mana generation / Survivability /Debuf / Heal"",
          ""description"": ""Item set focused on survivability, mana generation, debuff enemies and heal allies"",
          ""items"": [45,14,47]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana generation / Survivability /Debuf / Heal"",
          ""description"": ""Item set focused on survivability, mana generation, debuff enemies and heal allies"",
          ""items"": [45,14,47]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]",,,,,,
Titanic Hydra,27,,,Shen,"""Survavibility / Debuf / Heal / Mana Generation""","""Item set focused on survivability, mana generation, debuff enemies and heal allies""",Frozen Heart,Spear of Shojin,Redemption,45,14,47,"[45,14,47]","""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Survavibility / Debuf / Heal / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation, debuff enemies and heal allies"",
          ""items"": [45,14,47]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survavibility / Debuf / Heal / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation, debuff enemies and heal allies"",
          ""items"": [45,14,47]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]",,,,,,
Warmog's Armor,77,,,Shyvana,"""Survivability / Attack Speed""","""Item set focused on strong survivability (hp and hp regen) and attack speed""",Guinsoo's Rageblade,Phantom Dancer,Warmog's Armor,23,25,77,"[23,25,77]","""Survivability / Attack Speed""","""Item set focused on strong HP survivability, attack speed and max HP damage""",Titanic Hydra,Warmog's Armor,Phantom Dancer,27,77,25,"[27,77,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on strong survivability (hp and hp regen) and attack speed"",
          ""items"": [23,25,77]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on strong HP survivability, attack speed and max HP damage"",
          ""items"": [27,77,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on strong survivability (hp and hp regen) and attack speed"",
          ""items"": [23,25,77]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on strong HP survivability, attack speed and max HP damage"",
          ""items"": [27,77,25]
        }
      ]",,,,,,
Youmuu's Ghostblade,18,,,Swain,"""Mana Generation / Ability Damage / Survivability""","""Item set focused on survivability (hp and hp regen), mana generation and ability / spell damage""",Seraph's Embrace,Rabadon's Deathcap,Warmog's Armor,44,33,77,"[44,33,77]","""Survivability / Revival""","""Item set focused on survivability and some attack damage and attack speed""",Guardian Angel,Dragon's Claw,Phantom Dancer,15,66,25,"[15,66,25]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage / Survivability"",
          ""description"": ""Item set focused on survivability (hp and hp regen), mana generation and ability / spell damage"",
          ""items"": [44,33,77]
        },
        {
          ""name"": ""Survivability / Revival"",
          ""description"": ""Item set focused on survivability and some attack damage and attack speed"",
          ""items"": [15,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage / Survivability"",
          ""description"": ""Item set focused on survivability (hp and hp regen), mana generation and ability / spell damage"",
          ""items"": [44,33,77]
        },
        {
          ""name"": ""Survivability / Revival"",
          ""description"": ""Item set focused on survivability and some attack damage and attack speed"",
          ""items"": [15,66,25]
        }
      ]",,,,,,
Yuumi,38,,,Tristana,"""Attack Speed / Burn Damage""","""Item set focused on strong attack speed and burn damage""",Guinsoo's Rageblade,Rapid Firecannon,Red Buff,23,22,57,"[23,22,57]","""Survivability / Disarm / Attack Speed / Burn Damage""","""Item set focused on survivability, attack speed, disarm and burn damage""",Red Buff,Sword Breaker,Rapid Firecannon,57,56,22,"[57,56,22]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on strong attack speed and burn damage"",
          ""items"": [23,22,57]
        },
        {
          ""name"": ""Survivability / Disarm / Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on survivability, attack speed, disarm and burn damage"",
          ""items"": [57,56,22]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on strong attack speed and burn damage"",
          ""items"": [23,22,57]
        },
        {
          ""name"": ""Survivability / Disarm / Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on survivability, attack speed, disarm and burn damage"",
          ""items"": [57,56,22]
        }
      ]",,,,,,
Zeke's Herald,17,,,Twisted Fate,"""Attack Speed / Mana Generation""","""Item set focused on strong attack speed, spell damage and mana generation""",Guinsoo's Rageblade,Guinsoo's Rageblade,Spear of Shojin,23,23,14,"[23,23,14]","""Mana Generation / Attack Speed / Attack Damage""","""Item set focused on strong mana generation, attack damage and attack speed""",Spear of Shojin,Spear of Shojin,Guinsoo's Rageblade,14,14,23,"[14,14,23]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Mana Generation"",
          ""description"": ""Item set focused on strong attack speed, spell damage and mana generation"",
          ""items"": [23,23,14]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Mana Generation"",
          ""description"": ""Item set focused on strong attack speed, spell damage and mana generation"",
          ""items"": [23,23,14]
        },
        {
          ""name"": ""Mana Generation / Attack Speed / Attack Damage"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,23]
        }
      ]",,,,,,
Zephyr,67,,,Varus,"""Splash Damage / Mana Generation""","""Item set focused on strong mana Generation and splash damage""",Luden's Echo,Seraph's Embrace,Spear of Shojin,34,44,14,"[34,44,14]","""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Guinsoo's Rageblade,Spear of Shojin,Rabadon's Deathcap,23,14,33,"[23,14,33]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Mana Generation"",
          ""description"": ""Item set focused on strong mana Generation and splash damage"",
          ""items"": [34,44,14]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Mana Generation"",
          ""description"": ""Item set focused on strong mana Generation and splash damage"",
          ""items"": [34,44,14]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        }
      ]",,,,,,
,,,,Vayne,"""Attack Speed / Critical Damage""","""Item set focused on strong attack speed, critical damage and spell damage""",Guinsoo's Rageblade,Guinsoo's Rageblade,Infinity Edge,23,23,11,"[23,23,11]","""Attack Speed / Spell Damage""","""Item set focused on strong attack speed and spell damage""",Guinsoo's Rageblade,Guinsoo's Rageblade,Rapid Firecannon,23,23,22,"[23,23,22]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Critical Damage"",
          ""description"": ""Item set focused on strong attack speed, critical damage and spell damage"",
          ""items"": [23,23,11]
        },
        {
          ""name"": ""Attack Speed / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed and spell damage"",
          ""items"": [23,23,22]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Critical Damage"",
          ""description"": ""Item set focused on strong attack speed, critical damage and spell damage"",
          ""items"": [23,23,11]
        },
        {
          ""name"": ""Attack Speed / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed and spell damage"",
          ""items"": [23,23,22]
        }
      ]",,,,,,
,,,,Veigar,"""Mana Generation / Ability Damage"" ","""Item set focused on strong mana generation and ability / spell damage""",Spear of Shojin,Rabadon's Deathcap,Seraph's Embrace,14,33,44,"[14,33,44]","""Mana Generation""","""Item set focused on strong mana generation and some attack damage""",Spear of Shojin,Spear of Shojin,Seraph's Embrace,14,14,44,"[14,14,44]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and ability / spell damage"",
          ""items"": [14,33,44]
        },
        {
          ""name"": ""Mana Generation"",
          ""description"": ""Item set focused on strong mana generation and some attack damage"",
          ""items"": [14,14,44]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and ability / spell damage"",
          ""items"": [14,33,44]
        },
        {
          ""name"": ""Mana Generation"",
          ""description"": ""Item set focused on strong mana generation and some attack damage"",
          ""items"": [14,14,44]
        }
      ]",,,,,,
,,,,Volibear,"""Survivability / Splash Damage / HP Damage""","""Item set focused on survivability, splash damage and max HP damage""",Statikk Shiv,Titanic Hydra,Warmog's Armor,24,27,77,"[24,27,77]","""Survivability / Disarm / Attack Speed / Burn Damage""","""Item set focused on survivability, attack speed, disarm and burn damage""",Rapid Firecannon,Red Buff,Sword Breaker,22,57,56,"[22,57,56]","""bestSets"": [
        {
          ""name"": ""Survivability / Splash Damage / HP Damage"",
          ""description"": ""Item set focused on survivability, splash damage and max HP damage"",
          ""items"": [24,27,77]
        },
        {
          ""name"": ""Survivability / Disarm / Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on survivability, attack speed, disarm and burn damage"",
          ""items"": [22,57,56]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Splash Damage / HP Damage"",
          ""description"": ""Item set focused on survivability, splash damage and max HP damage"",
          ""items"": [24,27,77]
        },
        {
          ""name"": ""Survivability / Disarm / Attack Speed / Burn Damage"",
          ""description"": ""Item set focused on survivability, attack speed, disarm and burn damage"",
          ""items"": [22,57,56]
        }
      ]",,,,,,
,,,,Warwick,"""Survivability / HP Damage""","""Item set focused on strong survivability and max HP damage""",Phantom Dancer,Titanic Hydra,Warmog's Armor,25,27,77,"[25,27,77]","""Survivability / Debuff / HP Damage""","""Item set focused on strong survivability, enemy debuff and max HP damage""",Frozen Heart,Warmog's Armor,Titanic Hydra,45,77,27,"[45,77,27]","""bestSets"": [
        {
          ""name"": ""Survivability / HP Damage"",
          ""description"": ""Item set focused on strong survivability and max HP damage"",
          ""items"": [25,27,77]
        },
        {
          ""name"": ""Survivability / Debuff / HP Damage"",
          ""description"": ""Item set focused on strong survivability, enemy debuff and max HP damage"",
          ""items"": [45,77,27]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / HP Damage"",
          ""description"": ""Item set focused on strong survivability and max HP damage"",
          ""items"": [25,27,77]
        },
        {
          ""name"": ""Survivability / Debuff / HP Damage"",
          ""description"": ""Item set focused on strong survivability, enemy debuff and max HP damage"",
          ""items"": [45,77,27]
        }
      ]",,,,,,
